id,region id,area,,
1,1,Барський,,
2,1,Бершадський,,
3,1,Вінницький,,
4,1,Гайсинський,,
5,1,Жмеринський,,
6,1,Іллінецький,,
7,1,Калинівський,,
8,1,Козятинський,,
9,1,Крижопільський,,
10,1,Липовецький,,
11,1,Літинський,,
12,1,Могилів-Подільський,,
13,1,Мурованокуриловецький,,
14,1,Немирівський,,
15,1,Оратівський,,
16,1,Піщанський,,
17,1,Погребищенський,,
18,1,Теплицький,,
19,1,Тиврівський,,
20,1,Томашпільський,,
21,1,Тростянецький,,
22,1,Тульчинський,,
23,1,Хмільницький,,
24,1,Чернівецький,,
25,1,Чечельницький,,
26,1,Шаргородський,,
27,1,Ямпільський,,
28,2,Володимир-Волинський,,
29,2,Горохівський,,
30,2,Іваничівський,,
31,2,Камінь-Каширський,,
32,2,Ківерцівський,,
33,2,Ковельський,,
34,2,Локачинський,,
35,2,Луцький,,
36,2,Любешівський,,
37,2,Любомльський,,
38,2,Маневицький,,
39,2,Нововолинськ,,
40,2,Ратнівський,,
41,2,Рожищенський,,
42,2,Старовижівський,,
43,2,Турійський,,
44,2,Шацький,,
45,3,Апостолівський,,
46,3,Васильківський,,
47,3,Верхівцеве,,
48,3,Верхньодніпровський,,
49,3,Вільногірськ,,
50,3,Дніпродзержинськ,,
51,3,Дніпропетровський,,
52,3,Жовті Води,,
53,3,Зеленодольськ,,
54,3,Кривий Ріг,,
55,3,Криворізький,,
56,3,Криничанський,,
57,3,Магдалинівський,,
58,3,Марганець,,
59,3,Межівський,,
60,3,Нікопольський,,
61,3,Новомосковський,,
62,3,Орджонікідзе,,
63,3,Павлоградський,,
64,3,Перещепине,,
65,3,Першотравенськ,,
66,3,Петриківський,,
67,3,Петропавлівський,,
68,3,Покровський,,
69,3,П'ятихатський,,
70,3,Синельниківський,,
71,3,Солонянський,,
72,3,Софіївський,,
73,3,Тернівка,,
74,3,Томаківський,,
75,3,Царичанський,,
76,3,Широківський,,
77,3,Юр'ївський,,
78,4,Авдіївка,,
79,4,Амвросіївський,,
80,4,Артемівський,,
81,4,Великоновосілківський,,
82,4,Волноваський,,
83,4,Володарський,,
84,4,Вугледар,,
85,4,Горлівка,,
86,4,Дебальцеве,,
87,4,Дзержинськ,,
88,4,Димитров,,
89,4,Добропільський,,
90,4,Докучаєвськ,,
91,4,Донецьк,,
92,4,Дружківка,,
93,4,Єнакієве,,
94,4,Жданівка,,
95,4,Кіровське,,
96,4,Костянтинівський,,
97,4,Краматорськ,,
98,4,Красноармійський,,
99,4,Краснолиманський,,
100,4,Макіївка,,
101,4,Маріуполь,,
102,4,Мар'їнський,,
103,4,Новоазовський,,
104,4,Новогродівка,,
105,4,Олександрівський,,
106,4,Першотравневий,,
107,4,Селидове,,
108,4,Слов'янський,,
109,4,Сніжне,,
110,4,Старобешівський,,
111,4,Тельманівський,,
112,4,Торез,,
113,4,Харцизьк,,
114,4,Шахтарський,,
115,4,Ясинуватський,,
116,5,Андрушівський,,
117,5,Баранівський,,
118,5,Бердичівський,,
119,5,Брусилівський,,
120,5,Володарсько - Волинський,,
121,5,Ємільчинський,,
122,5,Житомирський,,
123,5,Коростенський,,
124,5,Коростишівський,,
125,5,Лугинський,,
126,5,Любарський,,
127,5,Малинський,,
128,5,Народицький,,
129,5,Новоград-Волинський,,
130,5,Овруцький,,
131,5,Олевський,,
132,5,Попільнянський,,
133,5,Радомишльський,,
134,5,Романівський,,
135,5,Ружинський,,
136,5,Червоноармійський,,
137,5,Черняхівський,,
138,5,Чуднівський,,
139,6,Берегівський,,
140,6,Великоберезнянський,,
141,6,Виноградівський,,
142,6,Воловецький,,
143,6,Іршавський,,
144,6,Міжгірський,,
145,6,Мукачівський,,
146,6,Перечинський,,
147,6,Рахівський,,
148,6,Свалявський,,
149,6,Тячівський,,
150,6,Ужгородський,,
151,6,Хустський,,
152,6,Чоп,,
153,7,Бердянський,,
154,7,Василівський,,
155,7,Великобілозерський,,
156,7,Веселівський,,
157,7,Вільнянський,,
158,7,Гуляйпільський,,
159,7,Енергодар,,
160,7,Запорізький,,
161,7,Кам'янсько-Дніпровський,,
162,7,Куйбишевський,,
163,7,Мелітопольський,,
164,7,Михайлівський,,
165,7,Новомиколаївський,,
166,7,Оріхівський,,
167,7,Пологівський,,
168,7,Приазовський,,
169,7,Приморський,,
170,7,Розівський,,
171,7,Токмацький,,
172,7,Чернігівський,,
173,7,Якимівський,,
174,8,Богородчанський,,
175,8,Болехів,,
176,8,Верховинський,,
177,8,Галицький,,
178,8,Городенківський,,
179,8,Долинський,,
180,8,Івано-Франківськ,,
181,8,Калуський,,
182,8,Коломийський,,
183,8,Косівський,,
184,8,Надвірнянський,,
185,8,Рогатинський,,
186,8,Рожнятівський,,
187,8,Снятинський,,
188,8,Тисменицький,,
189,8,Тлумацький,,
190,8,Яремче,,
191,10,Баришівський,,
192,10,Білоцерківський,,
193,10,Богуславський,,
194,10,Бориспільський,,
195,10,Бородянський,,
196,10,Броварський,,
197,10,Васильківський,,
198,10,Вишгородський,,
199,10,Володарський,,
200,10,Згурівський,,
201,10,Іванківський,,
202,10,Ірпінь,,
203,10,Кагарлицький,,
204,10,Києво-Святошинський,,
205,10,Макарівський,,
206,10,Миронівський,,
207,10,Обухівський,,
208,10,Переяслав-Хмельницький,,
209,10,Поліський,,
210,10,Рокитнянський,,
211,10,Сквирський,,
212,10,Славутич,,
213,10,Ставищенський,,
214,10,Таращанський,,
215,10,Тетіївський,,
216,10,Фастівський,,
217,10,Яготинський,,
218,11,Бобринецький,,
219,11,Вільшанський,,
220,11,Гайворонський,,
221,11,Голованівський,,
222,11,Добровеличківський,,
223,11,Долинський,,
224,11,Знам'янський,,
225,11,Кіровоград,,
226,11,Кіровоградський,,
227,11,Компаніївський,,
228,11,Маловисківський,,
229,11,Новгородківський,,
230,11,Новоархангельський,,
231,11,Новомиргородський,,
232,11,Новоукраїнський,,
233,11,Олександрівський,,
234,11,Олександрійський,,
235,11,Онуфріївський,,
236,11,Петрівський,,
237,11,Світловодський,,
238,11,Ульяновський,,
239,11,Устинівський,,
240,12,Алчевськ,,
241,12,Антрацитівський,,
242,12,Біловодський,,
243,12,Білокуракинський,,
244,12,Брянка,,
245,12,Кіровськ,,
246,12,Красний Луч,,
247,12,Краснодонський,,
248,12,Кремінна,,
249,12,Кремінський,,
250,12,Лисичанськ,,
251,12,Луганськ,,
252,12,Лутугинський,,
253,12,Марківський,,
254,12,Міловський,,
255,12,Новоайдарський,,
256,12,Новопсковський,,
257,12,Первомайськ,,
258,12,Перевальський,,
259,12,Попаснянський,,
260,12,Ровеньки,,
261,12,Рубіжне,,
262,12,Сватівський,,
263,12,Свердловський,,
264,12,Сєверодонецьк,,
265,12,Слов'яносербський,,
266,12,Станично-Луганський,,
267,12,Старобільський,,
268,12,Стаханов,,
269,12,Троїцький,,
270,13,Борислав,,
271,13,Бродівський,,
272,13,Буський,,
273,13,Городоцький,,
274,13,Дрогобицький,,
275,13,Жидачівський,,
276,13,Жовківський,,
277,13,Золочівський,,
278,13,Кам'янка-Бузький,,
279,13,Львів,,
280,13,Миколаївський,,
281,13,Мостиський,,
282,13,Перемишлянський,,
283,13,Пустомитівський,,
284,13,Радехівський,,
285,13,Самбірський,,
286,13,Сколівський,,
287,13,Сокальський,,
288,13,Старосамбірський,,
289,13,Стрийський,,
290,13,Трускавець,,
291,13,Турківський,,
292,13,Червоноград,,
293,13,Яворівський,,
294,14,Арбузинський,,
295,14,Баштанський,,
296,14,Березанський,,
297,14,Березнегуватський,,
298,14,Братський,,
299,14,Веселинівський,,
300,14,Вознесенський,,
301,14,Врадіївський,,
302,14,Доманівський,,
303,14,Єланецький,,
304,14,Жовтневий,,
305,14,Казанківський,,
306,14,Кривоозерський,,
307,14,Миколаївський,,
308,14,Новобузький,,
309,14,Новоодеський,,
310,14,Очаківський,,
311,14,Первомайський,,
312,14,Снігурівський,,
313,14,Южноукраїнськ,,
314,15,Ананьївський,,
315,15,Арцизький,,
316,15,Балтський,,
317,15,Березівський,,
318,15,Білгород-Дністровський,,
319,15,Біляївський,,
320,15,Болградський,,
321,15,Великомихайлівський,,
322,15,Іванівський,,
323,15,Ізмаїльський,,
324,15,Іллічівськ,,
