id,region id,area id,village,
1,1,1,Адамівка,
2,1,1,Антонівка,
3,1,1,Балки,
4,1,1,Бар,
5,1,1,"Бар, селище (Войнашівська сільська рада)",
6,1,1,Барок,
7,1,1,Біличин,
8,1,1,Борщі,
9,1,1,Бригідівка,
10,1,1,Буцні,
11,1,1,Васютинці,
12,1,1,Верешки,
13,1,1,Верхівка,
14,1,1,Войнашівка,
15,1,1,Володіївці,
16,1,1,Гавришівка,
17,1,1,Гайове,
18,1,1,Гармаки,
19,1,1,Глинянка,
20,1,1,Голубівка,
21,1,1,Горяни,
22,1,1,Гулі,
23,1,1,Діброва,
24,1,1,Журавлівка,
25,1,1,Заможне,
26,1,1,Затоки,
27,1,1,Зелене,
28,1,1,Зоряне,
29,1,1,Іванівці,
30,1,1,Івановецьке,
31,1,1,Йосипівці,
32,1,1,Каноницьке,
33,1,1,Каришків,
34,1,1,Квітка,
35,1,1,Киянівка,
36,1,1,Козарівка,
37,1,1,Колосівка,
38,1,1,Комарівці,
39,1,1,Копай,
40,1,1,Копайгород,
41,1,1,Котова,
42,1,1,Кошаринці,
43,1,1,Кузьминці,
44,1,1,Лісове,
45,1,1,Лугове,
46,1,1,Лука-Барська,
47,1,1,Лядова,
48,1,1,Мальчівці,
49,1,1,Маньківці,
50,1,1,Мартинівка,
51,1,1,Мар'янівка,
52,1,1,Матейків,
53,1,1,Мельники,
54,1,1,Мигалівці,
55,1,1,Мирне,
56,1,1,Митки,
57,1,1,Міжлісся,
58,1,1,Мурашка,
59,1,1,Окладне,
60,1,1,Павлівка,
61,1,1,Переліски,
62,1,1,Пилипи,
63,1,1,Підлісний Ялтушків,
64,1,1,Пляцина,
65,1,1,Польове,
66,1,1,Попівці,
67,1,1,Примощанниця,
68,1,1,Регентівка,
69,1,1,Сеферівка,
70,1,1,Сименки,
71,1,1,Слобода,
72,1,1,Слобода Ходацька,
73,1,1,Слобода-Гулівська,
74,1,1,Слобода-Ялтушківська,
75,1,1,Стасюки,
76,1,1,Степанки,
77,1,1,Супівка,
78,1,1,Терешки,
79,1,1,Трудолюбівка,
80,1,1,Українське,
81,1,1,Ульянівка,
82,1,1,Ходаки,
83,1,1,Хутір Шевченка,
84,1,1,Чемериси Барські,
85,1,1,Чемериське,
86,1,1,Червоне,
87,1,1,Черешневе,
88,1,1,Чубачівка,
89,1,1,Шевченкове,
90,1,1,Шершні,
91,1,1,Шипинки,
92,1,1,Широке,
93,1,1,Шпирки,
94,1,1,Ялтушків,
95,1,2,Баланівка,
96,1,2,Березівка,
97,1,2,Берізки-Бершадські,
98,1,2,Бершадь,
99,1,2,Бирлівка,
100,1,2,Велика Киріївка,
101,1,2,Війтівка,
102,1,2,Вовчок,
103,1,2,Глинське,
104,1,2,Голдашівка,
105,1,2,Джулинка,
106,1,2,Дяківка,
107,1,2,Завітне,
108,1,2,Кавкули (приналежність до Тирлівської сільської Ради),
109,1,2,Кидрасівка,
110,1,2,Кошаринці,
111,1,2,Красносілка,
112,1,2,Крушинівка,
113,1,2,Лісниче,
114,1,2,Лугова,
115,1,2,Мала Киріївка,
116,1,2,Маньківка,
117,1,2,Михайлівка,
118,1,2,М'якохід,
119,1,2,Осіївка,
120,1,2,Партизанське (приналежність до Осіївської сільської Ради),
121,1,2,Поташня,
122,1,2,П'ятківка,
123,1,2,Романівка,
124,1,2,Серебрія,
125,1,2,Серединка,
126,1,2,Ставки,
127,1,2,Сумівка,
128,1,2,Теофілівка,
129,1,2,Тернівка,
130,1,2,Тирлівка,
131,1,2,Устя,
132,1,2,"Устя, селище (приналежність до Устянської сільської Ради)",
133,1,2,Флорине,
134,1,2,Хмарівка,
135,1,2,Чернятка,
136,1,2,Шляхова,
137,1,2,Шумилово,
138,1,2,Яланець,
139,1,2,"Яланець, селище",
140,1,3,Агрономічне,
141,1,3,Березина,
142,1,3,Бохоники,
143,1,3,Великі Крушлинці,
144,1,3,Вінницькі Хутори,
145,1,3,Вороновиця,
146,1,3,Гавришівка,
147,1,3,Горбанівка,
148,1,3,Гуменне,
149,1,3,Десна,
150,1,3,Дорожнє,
151,1,3,Жабелівка,
152,1,3,Зарванці,
153,1,3,Іванівка,
154,1,3,Ільківка,
155,1,3,Комарів,
156,1,3,Кордишівка,
157,1,3,Красне,
158,1,3,Ксаверівка,
159,1,3,Лаврівка,
160,1,3,Лисогора,
161,1,3,Лисянка,
162,1,3,Лука-Мелешківська,
163,1,3,Майдан,
164,1,3,Майдан-Чапельський,
165,1,3,Малі Крушлинці,
166,1,3,Медвеже Вушко,
167,1,3,Медвідка,
168,1,3,Михайлівка,
169,1,3,Мізяківські Хутори,
170,1,3,Некрасове,
171,1,3,Олександрівка,
172,1,3,Оленівка,
173,1,3,Парпурівці,
174,1,3,Переорки,
175,1,3,Писарівка,
176,1,3,Побережне,
177,1,3,Прибузьке,
178,1,3,Пултівці,
179,1,3,Ровець,
180,1,3,Славне,
181,1,3,Слобода дашковецька,
182,1,3,Сокиринці,
183,1,3,Сосонка,
184,1,3,Стадниця,
185,1,3,Степанівка,
186,1,3,Стрижавка,
187,1,3,Тютьки,
188,1,3,Тютюнники,
189,1,3,Хижинці,
190,1,3,Цвіжин,
191,1,3,Широка  Гребля,
192,1,3,Щітки,
193,1,3,Якушинці,
194,1,4,Адамівка (Гунчанська сільська рада),
195,1,4,Басаличівка (Ярмолинецька сільська рада),
196,1,4,Бережне (Кущинецька сільська рада),
197,1,4,Бондурі,
198,1,4,Борсуки (Кущинецька сільська рада),
199,1,4,Бубнівка,
200,1,4,Бур’яни (Зятківецька сільська рада),
201,1,4,Гайсин (Гайсинська райдержадміністрація),
202,1,4,Гнатівка,
203,1,4,Гранів,
204,1,4,Грузьке,
205,1,4,Губник,
206,1,4,"Губник, селище (Губницької сільської ради)",
207,1,4,Гунча,
208,1,4,Дмитренки (Бубнівська сільська рада),
209,1,4,Жерденівка,
210,1,4,Заріччя (Карбівська сільська рада),
211,1,4,Зятківці,
212,1,4,"Зятківці, селище",
213,1,4,Карбівка,
214,1,4,"Карбівське,селище (Мітлинецька сільська рада)",
215,1,4,Кисляк (Карбівська сільська рада),
216,1,4,Кіблич,
217,1,4,Косанове (Носовецька сільська рада),
218,1,4,Кочурів (Кунянської сільської ради),
219,1,4,Краснопілка,
220,1,4,Крутогорб (Кунянська сільська рада),
221,1,4,Кузьминці,
222,1,4,Куна,
223,1,4,Кунка,
224,1,4,Кущинці,
225,1,4,Ладижинські Хутори,
226,1,4,Лісна Поляна,
227,1,4,Мар'янівка (Кунянська сільська рада),
228,1,4,Мелешків (Кіблицька сільська рада),
229,1,4,Митків,
230,1,4,Михайлівка,
231,1,4,Мітлинці,
232,1,4,Млинки (Гайсинська райдержадміністрація),
233,1,4,Нараївка,
234,1,4,Новоселівка (Бубнівська сільська рада),
235,1,4,Носівці,
236,1,4,Огіївка (Кіблицька сільська рада),
237,1,4,Павлівка (Кузьминецька сільська рада),
238,1,4,Рахни (семиріцька сільська рада),
239,1,4,Рахнівка (Чечелівська сільська рада),
240,1,4,Розівка (Жерденівська сільська рада),
241,1,4,Семирічка,
242,1,4,Слобода-Тишкывська (Митківська сільська рада),
243,1,4,Сокільці (Кузьминецька сільська рада),
244,1,4,Степашки,
245,1,4,Степове (Митківська сільська рада),
246,1,4,Тарасівка (Чечелівська сільська рада),
247,1,4,Тимар (Жерденівська сільська рада),
248,1,4,Тишківка (Митківська сільська рада),
249,1,4,Трубочка (Носовецька сільська рада),
250,1,4,Харпачка,
251,1,4,Хороша (Семиріцька сільська рада),
252,1,4,Чечелівка,
253,1,4,Шура-бондурівська (Бондурівська сільська рада),
254,1,4,Шура-Мітлинецька (Мітлинецька сільська рада),
255,1,4,Щурівці (Кузьминецька сільська рада),
256,1,4,Ярмолинці,
257,1,5,Анастасіївка,
258,1,5,Біликівці,
259,1,5,Браїлів,
260,1,5,Будьки,
261,1,5,Василівка,
262,1,5,Вознівці,
263,1,5,Володимирівка,
264,1,5,Голубівка,
265,1,5,Гута-Мовчанська,
266,1,5,Демидівка,
267,1,5,Демків,
268,1,5,Дубова,
269,1,5,Жмеринка,
270,1,5,Жуківці,
271,1,5,Зоринці,
272,1,5,Кам'яногірка,
273,1,5,Кармалюкове,
274,1,5,Кацмазів,
275,1,5,Коростівці,
276,1,5,Кудіївці,
277,1,5,Курилівці,
278,1,5,Леляки,
279,1,5,Ленінка,
280,1,5,Лисогірка,
281,1,5,Лопатинці,
282,1,5,Лука-Мовчанська,
283,1,5,Людавка,
284,1,5,Майдан головчинський,
285,1,5,Мала Жмеринка,
286,1,5,Мартинівка,
287,1,5,Матейково,
288,1,5,Межирів,
289,1,5,Мельники,
290,1,5,Мовчани,
291,1,5,Могилівка,
292,1,5,Новоселиця,
293,1,5,Носківці,
294,1,5,Олександрівка,
295,1,5,Олексіївка,
296,1,5,Петрані,
297,1,5,Петрівка,
298,1,5,Повал,
299,1,5,Подільська,
300,1,5,Потоки,
301,1,5,Почапинці,
302,1,5,Рижавка,
303,1,5,Рів,
304,1,5,Рожепи,
305,1,5,Северинівка,
306,1,5,Сербинівці,
307,1,5,Сідаво,
308,1,5,Слобода,
309,1,5,Слобода-Межерівська,
310,1,5,Слобода-носковецька,
311,1,5,Слобода-чернятинська,
312,1,5,смт. Браїлів,
313,1,5,Станіславчик,
314,1,5,Стодульці,
315,1,5,Сьомаки,
316,1,5,Тарасівка,
317,1,5,Тартак,
318,1,5,Телелинці,
319,1,5,Токарівка,
320,1,5,Травневе,
321,1,5,Хатки,
322,1,5,Чапаєвка,
323,1,5,Чернятин,
324,1,5,Шевченково,
325,1,5,Щучинці,
326,1,5,Ярошенка,
327,1,6,Бабин,
328,1,6,Білки,
329,1,6,Борисівка,
330,1,6,В’язовиця,
331,1,6,Василівка,
332,1,6,Вербівка,
333,1,6,Володимирівка,
334,1,6,Волошкове,
335,1,6,Городок,
336,1,6,Даньківка,
337,1,6,Дашів (Бабинська сільська рада),
338,1,6,Дашів (Дашівська селищна Рада),
339,1,6,Жадани,
340,1,6,Жорнище,
341,1,6,Іванівка,
342,1,6,Іллінецьке,
343,1,6,Іллінці,
344,1,6,Кабатня,
345,1,6,Кальник,
346,1,6,Кам'яногірка,
347,1,6,Кантелина,
348,1,6,Китайгород,
349,1,6,Копіївка,
350,1,6,Красненьке,
351,1,6,Криштопівка,
352,1,6,"Криштопівське, селище",
353,1,6,Купчинці,
354,1,6,Леухи,
355,1,6,Лиса Гора,
356,1,6,Лугова,
357,1,6,Неменка,
358,1,6,Олексіївка,
359,1,6,Павлівка,
360,1,6,Паріївка,
361,1,6,Пархомівка,
362,1,6,Первомайське,
363,1,6,Петро-Марківка,
364,1,6,Привільне,
365,1,6,Райки,
366,1,6,Розсохувата,
367,1,6,Романово хутір,
368,1,6,Слобідка,
369,1,6,Слободище,
370,1,6,Сорока,
371,1,6,Тягун,
372,1,6,Уланівка,
373,1,6,Хмільове,
374,1,6,Хрінівка,
375,1,6,Червоне,
376,1,6,Чортория,
377,1,6,Шабельня,
378,1,6,Шевченкове,
379,1,6,Якубівка,
380,1,6,Яструбинці,
381,1,7,Адамівка,
382,1,7,Антонопіль,
383,1,7,Байківка,
384,1,7,Великі Кутища,
385,1,7,Весела,
386,1,7,Герасимівка,
387,1,7,Глинськ,
388,1,7,Голендри,
389,1,7,Голубіївка,
390,1,7,Грушківці,
391,1,7,Гулівці,
392,1,7,Гущинці,
393,1,7,Дружелюбівка,
394,1,7,Дружне,
395,1,7,Жигалівка,
396,1,7,Жовтневе,
397,1,7,Загребельня,
398,1,7,Заливанщина,
399,1,7,Іванів,
400,1,7,Калинівка,
401,1,7,Калинівка Друга,
402,1,7,Кам'яногірка,
403,1,7,Кіровка,
404,1,7,Комунарівка,
405,1,7,Корделівка,
406,1,7,Котюжинці,
407,1,7,Лемешівка,
408,1,7,Лісова  Лисіївка,
409,1,7,Люлинці,
410,1,7,Малі Кутищі,
411,1,7,Мізяків,
412,1,7,Мізяківська Слобідка,
413,1,7,Мончинці,
414,1,7,Нападівка,
415,1,7,Нова  Гребля,
416,1,7,Павленки,
417,1,7,Павлівка,
418,1,7,Панасівка,
419,1,7,Первомайськ,
420,1,7,Пиків,
421,1,7,Писарівка,
422,1,7,Польова Лисіївка,
423,1,7,Прилуцьке,
424,1,7,Радівка,
425,1,7,Райки,
426,1,7,Рівнинне,
427,1,7,Сальник,
428,1,7,Слобідка,
429,1,7,Софіївка,
430,1,7,Тарасівка,
431,1,7,Уладовське,
432,1,7,Хомутинці,
433,1,7,Червона Трибунівка,
434,1,7,Червоний Степ,
435,1,7,Черепашинці,
436,1,7,Чернятин,
437,1,7,Шепіївка,
438,1,7,Яблуневе,
439,1,8,Безіменне,
440,1,8,Білопілля,
441,1,8,Блажіївка,
442,1,8,Бродецьке,
443,1,8,Велике,
444,1,8,Великий Степ,
445,1,8,Верболози,
446,1,8,Вернигородок,
447,1,8,Вівсяники,
448,1,8,Вікторівка,
449,1,8,Вовчинець,
450,1,8,Воскодавинці,
451,1,8,Глухівці,
452,1,8,Глухівці (сільска рада с.Глухівці ?),
453,1,8,Гурівці,
454,1,8,Держанівка,
455,1,8,Дубина,
456,1,8,Дубові Махаринці,
457,1,8,Жежелів,
458,1,8,Журбинці,
459,1,8,Залізничне,
460,1,8,Збараж,
461,1,8,Зозулинці,
462,1,8,Іванківці,
463,1,8,Йосипівка,
464,1,8,Катеринівка,
465,1,8,Кашперівка,
466,1,8,Козятин,
467,1,8,Козятин (Козятинська сільська Рада),
468,1,8,Комсомольське,
469,1,8,Кордишівка,
470,1,8,Коритувата,
471,1,8,Королівка,
472,1,8,Красне,
473,1,8,Куманівка,
474,1,8,Листопадівка,
475,1,8,Лозівка,
476,1,8,Лопатин,
477,1,8,Мала Клітинка,
478,1,8,Малишівка,
479,1,8,Марківці,
480,1,8,Махаринці,
481,1,8,Медведівка,
482,1,8,Миколаївка,
483,1,8,Михайлин,
484,1,8,Молодіжне,
485,1,8,Молотківці,
486,1,8,Муховата,
487,1,8,Мшанець,
488,1,8,Немиренці,
489,1,8,Непедівка,
490,1,8,Панасівка,
491,1,8,Перемога,
492,1,8,Пиковець,
493,1,8,Пляхова,
494,1,8,Поличинці,
495,1,8,Прушанка,
496,1,8,Пузирки,
497,1,8,Пустоха,
498,1,8,Рубанка,
499,1,8,Садове,
500,1,8,Самгородок,
501,1,8,Селище,
502,1,8,Сестринівка,
503,1,8,Сигнал,
504,1,8,Сокілець,
505,1,8,Сошанське,
506,1,8,Тернівка,
507,1,8,Титусівка,
508,1,8,Туча,
509,1,8,Флоріанівка,
510,1,8,Хліборобне,
511,1,8,Чернички,
512,1,8,Широка Гребля,
513,1,8,Юрівка,
514,1,9,Андріяшівка,
515,1,9,Вербецьке (Вербка),
516,1,9,Вербка,
517,1,9,Вигода,
518,1,9,Висока Гребля,
519,1,9,Вільшанка,
520,1,9,Гарячківка,
521,1,9,Голубече,
522,1,9,Горби,
523,1,9,Городківка,
524,1,9,Дахталія,
525,1,9,Джугастра,
526,1,9,Долинка (Долинка),
527,1,9,Доярня,
528,1,9,Жабокрич,
529,1,9,Заболотне,
530,1,9,Залісся,
531,1,9,Зеленянка,
532,1,9,Іллівка,
533,1,9,Кавків Яр,
534,1,9,Кісниця,
535,1,9,Красне,
536,1,9,Красносілка,
537,1,9,Крижопіль,
538,1,9,Крикливець,
539,1,9,Кринички,
540,1,9,Куниче,
541,1,9,Левків,
542,1,9,Леонівка,
543,1,9,Мар’янівка,
544,1,9,"Мар’янівське, селище",
545,1,9,ОдаЇ,
546,1,9,Павлівка,
547,1,9,Петрунівка,
548,1,9,Радянське,
549,1,9,Рудник,
550,1,9,Савчине,
551,1,9,Соколівка,
552,1,9,Сонячне,
553,1,9,Суха  Долина,
554,1,9,Теклівка,
555,1,9,Тернівка,
556,1,9,Файгород,
557,1,9,Шарапанівка,
558,1,9,Шуми,
559,1,10,Берестівка,
560,1,10,Біла,
561,1,10,Білозерівка,
562,1,10,Богданівка,
563,1,10,Брицьке,
564,1,10,Вахнівка,
565,1,10,Вербівка,
566,1,10,Вернянка,
567,1,10,Війтівці,
568,1,10,Вікентіївка,
569,1,10,Ганнівка,
570,1,10,Гордіївка,
571,1,10,Журава,
572,1,10,Зозів,
573,1,10,Зозівка (Зозівківська  сільська рада),
574,1,10,Іваньки,
575,1,10,Кобильня,
576,1,10,Козинці,
577,1,10,Конюшівка,
578,1,10,Королівка,
579,1,10,Косаківка,
580,1,10,Костянтинівка,
581,1,10,Коханівка,
582,1,10,Ксаверівка,
583,1,10,Липовець,
584,1,10,"Липовець, селище (Росошанська  сільська рада)",
585,1,10,Лозувата,
586,1,10,Лукашівка,
587,1,10,Нападівка,
588,1,10,Нарцизівка,
589,1,10,Нова  Прилука,
590,1,10,Нове,
591,1,10,Олександрівка,
592,1,10,Пелепенькове,
593,1,10,Петрівка,
594,1,10,Підлісне,
595,1,10,Пісочин,
596,1,10,Попівка,
597,1,10,Приборівка,
598,1,10,Росоша,
599,1,10,Свердлівка,
600,1,10,Сиваківці,
601,1,10,Скитка,
602,1,10,Славна,
603,1,10,Соболівка,
604,1,10,Стара  Прилука,
605,1,10,Струтинка,
606,1,10,С-ще Тельмана (Скитецька сільська рада),
607,1,10,Теклинівка,
608,1,10,Троща,
609,1,10,Турбів,
610,1,10,Ульянівка,
611,1,10,Хороша,
612,1,10,Червона Зірка,
613,1,10,Чупринівка,
614,1,10,Шендерівка,
615,1,10,Щаслива,
616,1,10,Ясенецьке,
617,1,10,Ясенки,
618,1,11,Антонівка,
619,1,11,Багринівці,
620,1,11,Балин,
621,1,11,Білозірка,
622,1,11,Бірків,
623,1,11,Бруслинів,
624,1,11,Бруслинівка,
625,1,11,Вербівка,
626,1,11,Вишенька,
627,1,11,Вінниківці,
628,1,11,Гавришівка,
629,1,11,Гончарівка,
630,1,11,Горбівці,
631,1,11,Городище,
632,1,11,Громадське,
633,1,11,Дашківці,
634,1,11,Дяківці,
635,1,11,Журавне,
636,1,11,Залужне,
637,1,11,Іванівці,
638,1,11,Іванопіль,
639,1,11,Івча,
640,1,11,Іскриня,
641,1,11,Кам’янка,
642,1,11,Кільянівка,
643,1,11,Кожухів,
644,1,11,Красносілка,
645,1,11,Кулига,
646,1,11,Кусиківці,
647,1,11,Лисогірка,
